model,lead,hop,mean_nse_forecast,mean_nse_noforecast,median_nse_forecast,median_nse_noforecast,mean_delta_nse,median_delta_nse,frac_improved_nse,mean_delta_kge,mean_delta_rmse,mean_delta_mae,mean_delta_corr,mean_delta_peak_rmse,mean_delta_peak_rbias,mean_delta_low_rmse
LSTM,1,2,0.46222118651955435,0.39107696098492967,0.5548558327484452,0.41609796382165304,0.07114422553462468,0.07632019228774312,0.7929515418502202,0.07420910775775329,-0.15795471502959993,-0.033650525915724316,0.08128997943976576,-0.934921197027403,0.0900099946580815,-0.018283826283856892
LSTM,1,3,0.45612123296287677,0.39107696098492967,0.5549834210387881,0.41609796382165304,0.06504427197794718,0.07755784551602735,0.7995594713656388,0.08072075101342956,-0.1890253864491526,-0.049406905078913016,0.08252401560109969,-1.0439082476961712,0.10774340186881903,-0.011958035858244183
LSTM,1,4,0.44627754182872853,0.39107696098492967,0.5480397960483063,0.41609796382165304,0.05520058084379886,0.0760127609005185,0.775330396475771,0.0636708937592364,-0.15069060664358858,-0.029864839790279978,0.07925098325690222,-0.9168532659216266,0.08480020194518019,-0.007189847906282466
LSTM-GAT,1,2,0.5178641259776984,0.43032187555677925,0.599224279728034,0.4597573354575607,0.08754225042091911,0.07374497650630901,0.7929515418502202,0.06463190904705145,-0.19755830628071833,-0.03844111140945801,0.07055526425029382,-0.9952675956092742,0.05730330363887325,0.007195400736460914
LSTM-GAT,1,3,0.525669371408108,0.4356800191864407,0.6011630879893177,0.46091787534001827,0.08998935222166717,0.0833789902407075,0.788546255506608,0.05791994038487805,-0.20072874116844852,-0.04320154915139204,0.07458394202561675,-1.116980323676463,0.06860456408387881,0.01360848009304681
LSTM-GAT,1,4,0.49529853813033475,0.42608649790042924,0.5909614332761037,0.46370913542071035,0.06921204022990539,0.07706058531662852,0.76431718061674,0.0636808393372791,-0.20631170037766405,-0.04846978197194753,0.07193584116155816,-1.1139980939640317,0.08288973401907533,-0.011439245189151409
